channel,temperature,mean,std deviation
7,30,30.13
7,30,30.13
7,30,30.13
7,30,30.13
7,30,30.14
7,30,30.14
7,30,30.14
7,30,30.14
7,30,30.14
7,30,30.13
7,30,30.13
7,30,30.13
7,30,30.13
7,30,30.12
7,30,30.12
7,30,30.12
7,30,30.13
7,30,30.13
7,30,30.13
7,30,30.13
7,30,30.13
7,30,30.13
7,30,30.13
7,30,30.12
7,30,30.12
7,30,30.12
7,30,30.13
7,30,30.13
7,30,30.13
7,30,30.13
7,30,30.13
7,30,30.12
7,30,30.12
7,30,30.12
7,30,30.12
7,30,30.12
7,30,30.11
7,30,30.11
7,30,30.12
7,30,30.12
7,30,30.12
7,30,30.12
0,120,118.68
